category,description
sports,"MINNEAPOLIS — The duel was over and a younger, unlikely gun by the name of Nick Foles was at the podium in the M.V.P. room. Tom Brady knows that piece of real estate well. He had occupied it — no, owned it — after four superb performances in his five Super Bowl victories."
sports,"In a rebuilding season in which they have struggled to score and win in regulation time, the Rangers are a work in progress, with a shifting lineup from game to game."
sports,"CHICAGO  In the finale of his brief and joyless cameo with the Chicago White Sox last season, Nick Swisher sat on the bench as DeWayne Wise started in left field in the playoffs. On Thursday, when Swisher returned to U.S. Cellular Field for the first time since his trade to the Yankees, Wise upstaged him again."
sports,"EAST RUTHERFORD, N.J. — The Giants went for a flashy pick in the first round of the N.F.L. draft Thursday when they took the swift, dynamic and multifaceted wide receiver Odell Beckham Jr. But the tradition-bound Giants did not live on the edge for long."
sports,"In an era where N.F.L. players coordinate their accessories to the smallest of details, Vita Vea stands out. Unlike his peers who adorn their arms with colorful sleeves or equip their helmets with tinted visors, the defensive tackle for the Tampa Bay Buccaneers takes a minimalist approach."
sports,"When the crashes were happening in the early 1990s, when Derrick Adkins was emerging as one of the world’s top hurdlers, he never thought that the most damaging and lasting injuries he experienced would be the ones he could not see."
sports,"ATLANTA — Passengers on the express bus from Throgs Neck in the Bronx to East 23rd Street in Manhattan last Monday morning might have wondered why their driver was wearing sunglasses on a cloudy day. Kevin Ware Sr., the father of Louisville’s famously injured guard, said he had no choice."
sports,"Major League Baseball had to shuffle its schedule yet again on Thursday, postponing the Philadelphia Phillies’ scheduled games for this weekend after a coach and a clubhouse attendant received positive test results for the coronavirus."
sports,"LANDOVER, Md., Aug. 19  Not only was quarterback Patrick Ramsey on the opposite side of the field Saturday night, but he was also on the other side of the fray. "
sports,"WIMBLEDON, England — After days of coy remarks about the possibility, it has been confirmed that Andy Murray and Serena Williams will be a team in the mixed doubles event at Wimbledon."
business,"CHICAGO — If North America were a factory, Union Pacific would be its biggest conveyor belt."
business,"As the world is seized with anxiety in the face of a spreading financial crisis, the one place having a considerably easier time attracting money is, perversely enough, the same place that started much of the trouble: the United States."
business,"As public school teachers, Tori Smith and her husband have careers that should survive the coronavirus economy, but their mortgage lender wasn’t taking any chances."
business,"ECONOMIC DATA Reports will include the Case-Shiller home price index for December and the Conference Board’s consumer confidence index for February (Tuesday); new-home sales for January (Wednesday); durable goods orders for January (Thursday); and the revised fourth-quarter gross domestic product, the Reuters/University of Michigan consumer confidence index for February and existing-home sales for January (Friday)."
business,"As the security software company KnowBe4 weighed whether to require a return to the office, executives knew to anticipate a certain set of concerns from employees. Less flexibility. More time in transit."
business,"The former chief executive of Qwest Communications, Joseph P. Nacchio, deceived investors and the public when he secretly sold $101 million in stock before its share price fell sharply, a federal prosecutor declared during opening statements Tuesday in Mr. Nacchio’s insider trading trial."
