category,description
economy,"Redwood City, Calif. - LIKE many employees at Google, Charlie Ayers profited handsomely when the company went public in August 2004. Selling some of his Google shares enabled him to quit his job and follow other passions."
economy,"As CVC Partners looks to expand its push into so-called growth investments, the private equity firm is planning to take a stake in a payments security start-up."
economy,"HONG KONG — Bohai Leasing of China plans to buy the Irish aircraft leasing firm Avolon in a deal with worth $7.6 billion, the companies said."
economy,"EVERY fledgling business eventually has to make the transition from idea to reality. But that shift presents special challenges for green companies born out of a desire to do well financially and do good for the environment, because they must operate under constraints that less idealistic enterprises can ignore."
economy,"THE idea that if you build it, they will come, might have worked for Kevin Costner in the movie ""Field of Dreams,"" but it certainly does not hold true for Web sites."
economy,"The billionaire and activist investor Carl C. Icahn took aim at another famous American company on Monday, the Xerox Corporation, and he stepped up pressure on the insurance giant American International Group."
economy,"Ater an arduous couple weeks of putting their institutions through a series of stringent stress tests, America’s top bankers might want to kick back and earn some money, perhaps even whistling to the possibility of higher interest rates. If only it were so easy. The only suitable tune would be Led Zeppelin’s bluesy stomp, “When the Levee Breaks.”"
economy,AbbVie’s chief executive may have overpaid once again.
economy,"San Francisco - FOUR months to six months. Only a year or two ago, that was how long start-up companies generally had to cajole, fret and act nonchalant while waiting for venture capitalists to part with money -- if they proved willing to write a check at all. Even during robust times, the period between a first pitch meeting with a venture capitalist and financing typically spans three months."
economy,"With the Mandarin language skills of a buffalo, I began chatting with my taxi driver in Shanghai, a polite man with plenty of questions about the United States. It was early 2007, and sitting in a back seat that reeked of stale cigarettes and body odor, I certainly didn’t see a financial epiphany coming. Then, the driver went straight for the jugular."
entertainment, Opening This Week 
entertainment," AMERICAN MUSEUM OF THE MOVING IMAGE — Rescued Treasures From the Library of Congress. Today, 2: Hitchcock's ""Spellbound"" (1945; at 4: Dieterle's ""Portrait of Jennie"" (1948). Christine Vachon and Killer Films. Sat., 1: Haynes's ""Dottie Gets Spanked"" (1993) with Hestand's ""He Was Once"" (1989); at 2: Harron's ""I Shot Andy Warhol"" (1996); at 4:30: Haynes's ""Velvet Goldmine"" (1998). Repertory Nights. Sat.-next Sun., 7:30: Melville's ""Bob le Flambeur"" (1955). 35th Ave. at 36th St., Astoria, Queens. (718-784-0077) "
entertainment,"An unsolved mystery is always fascinating; when that mystery involves a famous name and talk of gruesome circumstances, it can become a national obsession (see Simpson, O. J.). Such was the case with Michael Rockefeller's strange disappearance in Dutch New Guinea, which briefly dominated newspaper headlines in the fall of 1961. The event was newsworthy primarily because Michael happened to be the son of Nelson Rockefeller, then Governor of New York, and the great-grandson of John D. Rockefeller. But the story grew larger and more lurid because of persistent unproven rumors that Mr. Rockefeller, who was 22, had been killed and perhaps cannibalized by tribal headhunters."
entertainment,"ALIENS, angels and fugitives from justice wouldn't seem to have much in common, but for television viewers, these three constituencies share something important: they're on the run, or at least on the road, in a number of classic and current series."
entertainment,"BARRY BONDS may have hit 73 home runs last season, but a few years earlier he couldn't hit any off Henry Rowengartner, a 12-year-old who lives out a major league dream in ROOKIE OF THE YEAR (1993). Mr. Bonds is one of several real-life ballplayers to put in cameos in the film, stopping by just long enough to swing and miss against young Henry, appealingly played by Thomas Ian Nicholas. Some benign medical malpractice gets it all started: when Henry breaks his arm, whoever puts it back together doesn't quite do the job properly, and suddenly the boy can throw a 100-mile-per-hour fastball. The Chicago Cubs find out, sign him, and the rest is a pleasantly predictable baseball romp, perfect for this time of year - Thursday at 8 p.m. on the Family Channel."
entertainment,"When Kenn Viselman polled preschoolers about the qualities they'd most like to find in a playmate, the result was neither fish nor fowl - or even boy or girl."
entertainment,"Christmas is fast approaching and Chuckie, the paranoid spectacled toddler in Nickelodeon's ''Rugrats,'' detects disturbing pattern in the holiday frenzy. ''First,'' he says in a hushed voice to his best friend, Tommy, ''it gets really, really cold. Then the grown-ups start acting real nice and smile all the time, and that's not the worstest part. . . .''"
entertainment,This issue of Televison introduces some new features and some improvements on familiar ones.
entertainment,"From her conception at the hands of the sculptor Auguste Bartholdi to her transformation as a beacon of hope for immigrants to this country, the history of the Statue of Liberty is traced in ''Lady Liberty: Symbol of Dreams,'' which will be shown tonight at 9 on the Travel Channel. At 9 a.m. on Friday, ''The Magic of Central Park'' begins the channel's all-day tribute to America's most famous travel destinations."
entertainment,"In Robert Parrish's SADDLE THE WIND (1958), an intelligent little western about two brothers, John Cassavetes is a trigger happy extrovert and Robert Taylor, a gunfighter turned solid citizen. With his probing expressions Taylor (above with Julie London), in one of his final screen protrayals, makes us realize what a good restrained actor he was, although reviewers often ignored it. There's a grim showdown and the emphasis is on talk. Rod Serling's dislogue is excellent - blunt, thoughful and scathing, and the movie is admirably compact and well played, from the three stars to the affecting performance by Royal Dano in a sequence so strong that is almost cuts the picture in two - THURSDAY at 4 P.M. on TNT."
politics,"Obama takes the gloves off for Biden, and Congress grills tech executives. It’s Thursday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday."
politics,"As the midterm primary season nears an end, candidates endorsed by former President Donald J. Trump have continued to rack up primary wins, but with a handful of prominent losses."
politics,"With union members chanting “Bernie! Bernie!” behind him, Senator Bernie Sanders sought to burnish his populist credentials for president on Thursday as he introduced a bill to protect the pensions of millions of retirees from the threat of deep cuts."
politics,"Former Vice President Joseph R. Biden Jr. announced Thursday that he would seek the Democratic nomination to challenge President Trump in 2020, casting the election as a national emergency and asking Democrats to put the task of defeating Mr. Trump above all their other ambitions."
politics,"MACON, Ga. — Senator Kelly Loeffler issued a now-familiar warning during a campaign event on Wednesday in Bibb County: If Democrats win the Georgia Senate runoff elections, there will be little left to stem a rising tide of extremist socialism in America."
politics,"Vice President Mike Pence approached his task on Wednesday as he has approached his four years as the executive straight man to an unruly leader: not merely defending President Trump but effectively insisting, with poker-faced conviction, that those who doubt his boss should not believe their eyes and ears."
politics,"Senior advisers to former President Donald J. Trump have been working more attacks on Vice President Kamala Harris into the speeches and messaging planned for the Republican National Convention next week, according to two people briefed on the deliberations who were not authorized to discuss them publicly."
politics,Good Wednesday morning. Here are some of the stories making news in Washington and politics today.
politics,"[Here’s how to vote in Ohio, New York, New Jersey, Kentucky, and Virginia.]"
politics,"He has repeatedly accused three Black prosecutors investigating him of “reverse racism.” He told a gathering of Black Republicans that Black people like him because he, too, has been charged by the criminal justice system. And he has suggested that Black people relate to his mug shot."
economy,Talk about the ideal gated community — except the gate is the surrounding waters. 
economy,"RENEE ST. DENIS is prospecting. Scanning the rows of the latest arrivals of discarded computers and other electronic products at Hewlett-Packard's 200,000-square-foot recycling plant, she searches for precious metals."
economy,"LOS ANGELES - THE aha! moment came for Hal Bringman in 1999 when the online music pioneer MP3.com went public and its value soared, for a time, to nearly $7 billion -- making millionaires, at least on paper, of its founder and investors."
economy,"“Don’t even bother,” my big-shot executive pal warned me as I reached for my college-era Visa. We hadn’t seen each other since my undergrad days. “You never pay for the meal of someone who’s better off than you.”"
economy,"CHICAGO - IN many ways, this city's current fortunes are all about mulch. It's everywhere. Bark mulch is spread in neat circles around the city's trees; roughly 30,000 new trees are planted annually. Darker leaf mulch fills planters along State, Dearborn, Michigan and the other major thoroughfares now blooming in spring colors."
economy,"EARLY one morning last month, 14 small-business owners gathered around a table and, over coffee and muffins, spoke for the next two hours of their curiosity and qualms about taking the technological plunge into Web sites, company e-mail addresses and perhaps even selling over the Internet."
economy,"BY the time Barbara Moskowitz starts her shopping, she doesn't worry too much about fighting the crowds. Her concern is the snoring."
economy,"WHEN Craig and Randy Rubin started Hi-Tex Inc. in November 1993, they never intended to open a factory. ""Our charter was no bricks and mortar,"" said Ms. Rubin. The business, in West Bloomfield, Mich., was set up, she added, to be a branding and a technology company."
economy,"Sixteen months after going live, the insurance company Oscar has joined the elite group of start-ups known as unicorns, or those with billion-dollar valuations."
economy,"HOW hot is the pet market these days? Think dog purses, cat strollers, ""Cab-bone-net"" wine-flavored dog treats and sitters hired to watch television with Fido, and some sense of the lunatic growth becomes clear."
entertainment,"HERMAN MELVILLE called the title character of BARTLEBY (2001) ''a scrivener the strangest I ever saw or hear of,'' and Jonathan Parker's film version of the 1853 Melville novel makes that clear. Updated, Bartleby (Crispin Glover) is an office clerk who does something odd. One day his boss (David Paymer) asks him to verify a notice of petition to administer an estate and Bartleby says, ''I would prefer not to.'' He begins saying the same thing to every request, and no one at the office (his co-workers include Maury Chaykin, whose character isn't smart enough to close the cover on the photocopier) knows what to do. When Bartleby's boss fires him, he continues to come in. The next step is to mmove the office to a new building and hope that Bartleby can't find it - Friday at 9 p.m. and Friday/Early Saturday at 5 a.m.: on Sundance."
entertainment,"Generally fast, funny, festive and bright, THE GREAT RACE (1965) is a long, bulging movie comic-strip, culled from the good old days of sneering culprits, daredevil heroes, brave beauties and flying custard pies. A scrambly, international marathon of early-1900 autos, it carries the likes of Tony Curtis, Natalie Wood and Dorothy Provine, under Blake Edwards's blithe direction. The show-stealer is a sneering and villainous Jack Lemmon (above with Peter Falk). Expect a few lulls but not many. For the record, a song called ''The Sweetheart Tree'' copped an Oscar as the year's best ballad and then disappeared -- SATURDAY at 11 A.M. on FAM. Howard Thompson"
entertainment,"The concept of Smell-o-Vision never really took hold in America's movie theaters, but it's very nearly a reality in John Waters's ""Hairspray."" During this bright, bouncy film's opening montage of early 60's teen-agers preparing their coiffures for a television dance program, it's almost possible to sniff the huge clouds of poison they spray onto their teased, empty heads. Such is the realism of ''Hairspray,'' which is hardly the only film to recapture this period (roughly that of ''American Graffiti'') but may be the worst looking. That &#151; a merry cavalcade of the period's most authentically awful props, fads and textiles &#151; appears to be exactly what Mr. Waters was after."
entertainment," Having rushed big summer movies onto DVD and VHS in time for the holidays, home video isn't letting up on the accelerator with major titles from theater runs in December. Last week Columbia TriStar set a release date of March 25 for ""Maid in Manhattan,"" the Jennifer Lopez vehicle. This week Warner scheduled ""Harry Potter and the Chamber of Secrets"" for April 11. "
entertainment," Opening This Week ""ABOUT SCHMIDT"" — Alexander Payne's drama stars Jack Nicholson, Hope Davis, Dermot Mulroney and Kathy Bates in the tale of a newly retired, newly widowed Omaha insurance man who sets out in his Winnebago on a whim to visit his estranged daughter. When it was shown as the opening-night selection of this year's New York Film Festival, Stephen Holden wrote: ""Instead of flash, what Mr. Nicholson brings to his role is a sorrowful awareness of human complexity whose emotional depth matches anything he has done in the movies before."" (R) (2:05) Opens Fri. A related article is on Page 1. "
entertainment,"MADE for television, the movie ""A MOTHER'S PRAYER"" is based on a true story about one of the five million children who will be orphaned by AIDS by the turn of century. The film highlights the tragic dilemmas -- and options -- that families and the system face in trying to provide for children left behind by the disease."
entertainment,"WE'VE seen so much of it before. Young, pretty Miss Bouvier, hoisting her oversize press camera as The Washington Times Herald's inquiring photographer. Elegant Mrs. Kennedy, taking Paris by storm, then - seconds later, it seems - holding America together in the days after her husband's assassination. Glamorous Mrs. Onassis, beaming at her Greek wedding and relaxing on her second husband's yacht. And finally Jackie - just Jackie, because her own identity transcended those of the men she married - working for a book publisher in Manhattan, standing proud beside her grown children, strolling in Central Park with Maurice Tempelsman, the last man she loved."
entertainment,"IN ''Rebecca,'' Daphne du Maurier's classic Gothic tale of romance and murder, the second Mrs. de Winter is forced to compete with the larger-than-life memory of her predecessor, the dead but unforgettable Rebecca. And in their new television film of the story, the producers have had to contend with a ghost of their own: the ghost of Alfred Hitchcock's 1940 ''Rebecca,'' starring Laurence Olivier and Joan Fontaine."
entertainment," Aside from a few bright spots, video proceeded uninspiringly last week. Dealers report increased interest in movies with violent and terrorist leanings, not that those were ever weak categories. ""The Siege"" is most talked about, with its terrorist attack on New York, but Video Hound's Golden Movie Retriever lists more than 300 titles under the terrorism heading. "
entertainment,"Gary Cooper and Ingrid Bergman play period birds of prey in high-style plumage in Sam Wood's SARATOGA TRUNK (1945), based on Edna Ferber's novel of a New Orleans vixen and a cowboy bucaneering among railroad tycoons. The picture brims with so much color, from the French Quarter of Old New Orleans to the upstate New York resort hotel in Saratoga, that some viewers recall its black-and-white scenes in Technicolor. It is rarely shown on TV, or anywhere, so a taping might be in order to savor the glamorous adventurers whom Ferber fondly christened Clint Maroon and Clio Dulaine -- THURSDAY/EARLY FRIDAY at 2 A.M. on TURNER CLASSIC MOVIES. Howard Thompson"
politics,"Nikki Haley, battling attacks from Donald J. Trump that she is too liberal and accusations from Ron DeSantis that she has been hiding from voters and reporters, hit back on Thursday, taking questions and defending her conservative credentials."
politics,"Voting rights activists, on the defensive this year in the face of a wave of restrictive new voting laws, grappled on Thursday with new guidance from the Supreme Court signaling that the challenge will be even steeper now for opposing these laws in court."
politics,"Follow the latest news about the 2024 election, and the Trump and Harris campaigns."
politics,"TIBURON, Calif. — In January 2011, four and a half years before Donald Trump glided down the escalator at Trump Tower and began a campaign for the White House that few conservatives were taking seriously, Michael Savage invited him on the radio and declared that he had found a president. It was their first interview."
politics,"MASON CITY, Iowa — Kristen Marttila’s alarm went off at 6 a.m. on Saturday and soon she was filling up two thermoses — one with hot water, one with soup — to gird for the day ahead: a two-hour drive to Mason City to campaign for Senator Elizabeth Warren in the icy cold."
politics,"ATLANTA — Senator David Perdue of Georgia’s re-election campaign was assailed on Monday for a Facebook advertisement that enlarged the nose of his Democratic opponent, Jon Ossoff, who is Jewish, in a portrayal that critics immediately denounced as anti-Semitic."
